game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023021085,NYR,WPG,41,27,72,48,55,33,0.6,0.4,0.625,0.375
2023021086,PHI,TOR,30,30,51,86,42,47,0.3722627737226277,0.6277372262773723,0.47191011235955055,0.5280898876404494
2023021087,NYI,CAR,31,34,52,64,39,45,0.4482758620689655,0.5517241379310345,0.4642857142857143,0.5357142857142857
2023021088,NSH,SJS,40,20,66,49,52,28,0.5739130434782609,0.4260869565217391,0.65,0.35
2023021089,STL,COL,33,35,65,63,52,47,0.5078125,0.4921875,0.5252525252525253,0.47474747474747475
2023021090,EDM,MTL,32,25,59,61,38,41,0.49166666666666664,0.5083333333333333,0.4810126582278481,0.5189873417721519
2023021091,ANA,MIN,27,32,51,63,38,45,0.4473684210526316,0.5526315789473685,0.4578313253012048,0.5421686746987951
2023021092,LAK,CHI,24,24,43,61,33,39,0.41346153846153844,0.5865384615384616,0.4583333333333333,0.5416666666666666
2023021093,VAN,BUF,34,17,68,54,52,30,0.5573770491803278,0.4426229508196721,0.6341463414634146,0.36585365853658536
2023021094,VGK,TBL,27,21,59,37,43,25,0.6145833333333334,0.3854166666666667,0.6323529411764706,0.36764705882352944
2023021095,WSH,TOR,21,29,60,62,38,43,0.4918032786885246,0.5081967213114754,0.4691358024691358,0.5308641975308642
2023021096,DAL,ARI,33,25,63,47,47,36,0.5727272727272728,0.42727272727272725,0.5662650602409639,0.43373493975903615
2023021097,LAK,MIN,27,31,49,63,34,49,0.4375,0.5625,0.40963855421686746,0.5903614457831325
2023021098,BOS,NYR,26,31,42,67,34,45,0.3853211009174312,0.6146788990825688,0.43037974683544306,0.569620253164557
2023021099,CAR,PHI,33,32,72,68,43,49,0.5142857142857142,0.4857142857142857,0.4673913043478261,0.532608695652174
2023021100,DET,NYI,24,36,42,70,31,48,0.375,0.625,0.3924050632911392,0.6075949367088608
2023021101,FLA,NSH,33,37,63,62,47,45,0.504,0.496,0.5108695652173914,0.4891304347826087
2023021102,NJD,WPG,41,19,67,55,55,33,0.5491803278688525,0.45081967213114754,0.625,0.375
2023021103,OTT,STL,39,27,73,40,55,31,0.6460176991150443,0.35398230088495575,0.6395348837209303,0.36046511627906974
2023021104,EDM,BUF,39,29,74,54,52,37,0.578125,0.421875,0.5842696629213483,0.4157303370786517
2023021105,ANA,CHI,25,29,60,46,42,34,0.5660377358490566,0.4339622641509434,0.5526315789473685,0.4473684210526316
2023021106,VAN,MTL,25,17,68,39,46,26,0.6355140186915887,0.3644859813084112,0.6388888888888888,0.3611111111111111
2023021107,VGK,SEA,37,22,70,55,54,31,0.56,0.44,0.6352941176470588,0.36470588235294116
2023021108,SJS,TBL,22,21,51,44,31,32,0.5368421052631579,0.4631578947368421,0.49206349206349204,0.5079365079365079
2023021109,WSH,CAR,28,34,71,73,46,55,0.4930555555555556,0.5069444444444444,0.45544554455445546,0.5445544554455446
2023021110,DAL,PIT,23,22,51,53,36,34,0.49038461538461536,0.5096153846153846,0.5142857142857142,0.4857142857142857
2023021111,COL,CBJ,50,24,89,50,62,38,0.6402877697841727,0.3597122302158273,0.62,0.38
2023021112,ARI,SEA,26,28,49,69,41,48,0.4152542372881356,0.5847457627118644,0.4606741573033708,0.5393258426966292
